"subjID","gain","loss","cert","gamble"
"bd2adbff911d558e","10.0","0.0","3.0","1.0"
"bd2adbff911d558e","12.0","0.0","7.0","1.0"
"bd2adbff911d558e","17.0","-10.0","0.0","0.0"
"bd2adbff911d558e","11.0","-4.0","0.0","1.0"
"bd2adbff911d558e","9.0","-4.0","0.0","1.0"
"bd2adbff911d558e","18.0","0.0","4.0","1.0"
"bd2adbff911d558e","12.0","0.0","3.0","1.0"
"bd2adbff911d558e","10.0","-3.0","0.0","1.0"
"bd2adbff911d558e","9.0","-5.0","0.0","1.0"
"bd2adbff911d558e","13.0","-2.0","0.0","1.0"
"bd2adbff911d558e","12.0","-4.0","0.0","1.0"
"bd2adbff911d558e","16.0","0.0","7.0","1.0"
"bd2adbff911d558e","15.0","-8.0","0.0","1.0"
"bd2adbff911d558e","12.0","-5.0","0.0","1.0"
"bd2adbff911d558e","10.0","-2.0","0.0","1.0"
"bd2adbff911d558e","13.0","-4.0","0.0","1.0"
"bd2adbff911d558e","12.0","0.0","4.0","1.0"
"bd2adbff911d558e","13.0","-3.0","0.0","1.0"
"bd2adbff911d558e","18.0","0.0","6.0","1.0"
"bd2adbff911d558e","15.0","-2.0","0.0","1.0"
"bd2adbff911d558e","18.0","0.0","5.0","0.0"
"bd2adbff911d558e","9.0","-5.0","0.0","1.0"
"bd2adbff911d558e","13.0","-6.0","0.0","1.0"
"bd2adbff911d558e","11.0","-2.0","0.0","1.0"
"bd2adbff911d558e","12.0","-4.0","0.0","1.0"
"bd2adbff911d558e","12.0","0.0","4.0","1.0"
"bd2adbff911d558e","12.0","-10.0","0.0","0.0"
"bd2adbff911d558e","10.0","0.0","7.0","1.0"
"bd2adbff911d558e","17.0","-8.0","0.0","1.0"
"bd2adbff911d558e","18.0","0.0","3.0","1.0"
"bd2adbff911d558e","12.0","-2.0","0.0","1.0"
"bd2adbff911d558e","16.0","0.0","5.0","1.0"
"bd2adbff911d558e","14.0","0.0","6.0","1.0"
"bd2adbff911d558e","15.0","-8.0","0.0","0.0"
"bd2adbff911d558e","12.0","-8.0","0.0","0.0"
"bd2adbff911d558e","12.0","0.0","7.0","1.0"
"bd2adbff911d558e","14.0","0.0","6.0","1.0"
"bd2adbff911d558e","15.0","-2.0","0.0","1.0"
"bd2adbff911d558e","11.0","-5.0","0.0","1.0"
"bd2adbff911d558e","14.0","0.0","3.0","1.0"
"bd2adbff911d558e","11.0","-3.0","0.0","1.0"
"bd2adbff911d558e","15.0","-6.0","0.0","1.0"
"bd2adbff911d558e","17.0","-10.0","0.0","0.0"
"bd2adbff911d558e","10.0","-8.0","0.0","0.0"
"bd2adbff911d558e","12.0","-10.0","0.0","0.0"
"bd2adbff911d558e","11.0","-2.0","0.0","1.0"
"bd2adbff911d558e","9.0","-2.0","0.0","1.0"
"bd2adbff911d558e","9.0","-3.0","0.0","1.0"
"bd2adbff911d558e","12.0","-6.0","0.0","1.0"
"bd2adbff911d558e","10.0","0.0","4.0","1.0"
"bd2adbff911d558e","13.0","-8.0","0.0","1.0"
"bd2adbff911d558e","12.0","0.0","5.0","1.0"
"bd2adbff911d558e","15.0","-4.0","0.0","1.0"
"bd2adbff911d558e","10.0","0.0","4.0","1.0"
"bd2adbff911d558e","11.0","-10.0","0.0","1.0"
"bd2adbff911d558e","17.0","-2.0","0.0","1.0"
"bd2adbff911d558e","9.0","-3.0","0.0","1.0"
"bd2adbff911d558e","12.0","-5.0","0.0","1.0"
"bd2adbff911d558e","14.0","0.0","4.0","1.0"
"bd2adbff911d558e","13.0","-4.0","0.0","1.0"
"bd2adbff911d558e","9.0","-8.0","0.0","0.0"
"bd2adbff911d558e","14.0","0.0","4.0","1.0"
"bd2adbff911d558e","18.0","0.0","4.0","1.0"
"bd2adbff911d558e","10.0","-8.0","0.0","0.0"
"bd2adbff911d558e","17.0","-4.0","0.0","1.0"
"bd2adbff911d558e","13.0","-8.0","0.0","0.0"
"bd2adbff911d558e","10.0","0.0","6.0","1.0"
"bd2adbff911d558e","18.0","0.0","7.0","1.0"
"bd2adbff911d558e","13.0","-5.0","0.0","1.0"
"bd2adbff911d558e","18.0","0.0","5.0","1.0"
"bd2adbff911d558e","16.0","0.0","3.0","1.0"
"bd2adbff911d558e","10.0","0.0","7.0","0.0"
"bd2adbff911d558e","14.0","0.0","5.0","1.0"
"bd2adbff911d558e","15.0","-6.0","0.0","1.0"
"bd2adbff911d558e","17.0","-2.0","0.0","1.0"
"bd2adbff911d558e","9.0","-8.0","0.0","0.0"
"bd2adbff911d558e","15.0","-3.0","0.0","1.0"
"bd2adbff911d558e","11.0","-4.0","0.0","1.0"
"bd2adbff911d558e","14.0","0.0","3.0","1.0"
"bd2adbff911d558e","13.0","-10.0","0.0","0.0"
"bd2adbff911d558e","16.0","0.0","6.0","1.0"
"bd2adbff911d558e","9.0","-4.0","0.0","1.0"
